Código,Nombre común,Nombre científico,Tipo de planta
PICH,Pistachero chino,Pistacia chinensis,ARBUSTO
MUCA,Cabello de Muhlenberg,Muhlenbergia capillaris,HERB_PERENNES
ABEG,Abelia 'Edward Goucher',Abelia 'Edward Goucher',ARBUSTO
ACGR,Junco japonés enano,Acorus gramineus,HERB_PERENNES
ACLT,Milenrama 'Terracotta',Achillea millefolium 'Terracotta',HERB_PERENNES
AGRP,Abelia 'Prostrata',Abelia x grandiflora 'Prostrata',ARBUSTO
AHIB,Castaño de indias de Baumann,Aesculus hippocastanum 'Baumannii',FRONDOSA
RCB,Rosa Cérise Bouquet,Rosa 'Cerise Bouquet',ARBUSTO
CATE,Juncia naranja,Carex testacea,HERB_PERENNES
CATG,Cedro del Atlas azul,Cedrus atlantica 'Glauca',CONIFERA
CIPL,Jara híbrida,Cistus × pulverulentus,ARBUSTO
CLVI,Hierba del pordiosero,Clematis vitalba,TAPIZANTE/TREPADORA
CRLU,Crocosmia de Lucifer,Crocosmia 'Luzifer',HERB_PERENNES
EPVS,Sombrero de obispo (Mitra),Epimedium × versicolor 'Sulphureum',HERB_PERENNES
ERMU,Bruguera,Erica multiflora,ARBUSTO
EUAM,Lechetrezna de bosque,Euphorbia amygdaloides,HERB_PERENNES
HEDR,Lirio 'Double River Wye',Hemerocallis 'Double River Wye',HERB_PERENNES
HERA,Lirio naranja 'Rajah',Hemerocallis 'Rajah',HERB_PERENNES
HLNI,Rosa de Navidad,Helleborus niger,HERB_PERENNES
HYMO,Hiperico híbrido,Hypericum x moserianum,HERB_PERENNES
IRFO,Lirio hediondo,Iris foetidissima,HERB_PERENNES
IRPA,Lirio dálmata,Iris pallida,HERB_PERENNES
IRVD,Lirio multicolor 'Dark Aura',Iris versicolor 'Dark Aura',HERB_PERENNES
JUBE,Enebro de las Bermudas,Juniperus bermudiana,CONIFERA
JUPR,Sabina de Arabia,Juniperus procera,CONIFERA
LUSY,Junco grande,Luzula sylvatica,HERB_PERENNES
MALP,Morera llorona,Morus alba 'Pendula',FRONDOSA
MESA,Alfalfa,Medicago sativa,HERB_PERENNES
OPHN,Ofiopogón negro,Ophiopogon planiscapus 'Niger',HERB_PERENNES
PEHB,Sombrerera híbrida,Petasites hybridus,HERB_PERENNES
PEOR,Hierba oriental,Pennisetum orientale,HERB_PERENNES
PHAS,Carrizo común,Phragmites australis,HERB_PERENNES
PIMA,Pino azul,Pinus maximartinezii,CONIFERA
PPEN,Nectarino,Prunus persica nucipersica,FRONDOSA
PPEP,Paraguayo,Prunus persica 'Platycarpa',FRONDOSA
ROAB,Rosal 'Albéric Barbier',Rosa 'Albéric Barbier',ARBUSTO
ROAE,Rosal 'Adios Enriqueta',Rosa 'Adios Enriqueta',ARBUSTO
ROAG,Rosal 'Alexandre Girault',Rosa 'Alexandre Girault',ARBUSTO
ROAP,Rosal 'American Pillar',Rosa 'American Pillar',ARBUSTO
ROAQ,Rosal 'Amparín Quílez',Rosa 'Amparín Quílez',ARBUSTO
ROAS,Rosal 'Amistad Sincera',Rosa 'Amistad Sincera',ARBUSTO
ROAV,Rosal 'Aviateur Blériot',Rosa 'Aviateur Blériot',ARBUSTO
ROAX,,Rosa x alba 'Maxima',ARBUSTO
ROBB,Rosal banksiae 'alba',Rosa banksiae 'Alba',TAPIZANTE/TREPADORA
ROBC,Rosal 'Bengale Camélia',Rosa 'Bengale Camélia',ARBUSTO
ROBE,Rosal 'Bea',Rosa 'Bea',ARBUSTO
ROBJ,Rosal 'Bobbie James',Rosa 'Bobbie James',ARBUSTO
ROBK,Rosal 'Barkarole',Rosa 'Barkarole',ARBUSTO
ROBL,Rosal banksiae lutea,Rosa banksiae f. lutea,TAPIZANTE/TREPADORA
ROBM,Rosal 'Bleu Magenta',Rosa 'Bleu Magenta',ARBUSTO
ROBO,Rosal 'Baronne de Rothschild',Rosa 'Baronne de Rothschild',ARBUSTO
ROBS,Rosal 'Belle symphonie',Rosa 'Belle Symphonie',ARBUSTO
ROBT,Rosal 'Botticelli',Rosa 'Botticelli',ARBUSTO
ROCA,Rosal 'Condesa de Barcelona',Rosa 'Condesa de Barcelona',ARBUSTO
ROCB,Rosal 'Comtesse du Barry',Rosa 'Comtesse du Barry',ARBUSTO
ROCD,Rosal 'Coral Drift',Rosa 'Coral Drift',ARBUSTO
ROCE,Rosal 'Celestial',Rosa 'Celestial',ARBUSTO
ROCF,Rosal 'Conrad Ferdinand Meyer',Rosa 'Conrad Ferdinand Meyer',ARBUSTO
ROCG,"Rosal 'Crimson Glory, Climber'","Rosa 'Crimson Glory, Climber'",TAPIZANTE/TREPADORA
ROCL,Rosal 'Centenaire de Lourdes',Rosa 'Centenaire de Lourdes',ARBUSTO
ROCM,Rosal 'Comtesse de Murinais',Rosa 'Comtesse de Murinais',ARBUSTO
ROCP,Rosal 'Crown Princess Margareta',Rosa 'Crown Princess Margareta',ARBUSTO
ROCR,Rosal 'Cecilio Rodriguez',Rosa 'Cecilio Rodriguez',ARBUSTO
ROCS,Rosal 'Condesa de Sástago',Rosa 'Condesa de Sástago',ARBUSTO
ROCW,Rosal 'Colonial White',Rosa 'Colonial White',ARBUSTO
ROCY,Rosal 'Condesa de Mayalde',Rosa 'Condesa de Mayalde',ARBUSTO
RODG,Rosal 'Daniel Gelin',Rosa 'Daniel Gelin',ARBUSTO
RODO,Rosal 'Dorita',Rosa 'Dorita',ARBUSTO
RODP,Rosal 'Duquesa de Peñaranda',Rosa 'Duquesa de Peñaranda',ARBUSTO
ROEH,"Rosal 'Étoile de Hollande, Climber'","Rosa 'Étoile de Hollande, Cl'",TAPIZANTE/TREPADORA
ROET,,Rosa 'Encarnita de Tierno',ARBUSTO
ROEX,Rosal 'Excelsa',Rosa 'Excelsa',ARBUSTO
ROFA,Rosal 'Falstaff',Rosa 'Falstaff',ARBUSTO
ROFB,Rosal 'Fiesta Brava',Rosa 'Fiesta Brava',ARBUSTO
ROFJ,Rosal 'François Juranville',Rosa 'François Juranville',ARBUSTO
ROFL,Rosal 'Floricel',Rosa 'Floricel',ARBUSTO
ROFM,Rosal 'Frédéric Mistral',Rosa 'Frédéric Mistral',ARBUSTO
ROFR,Rosal 'Friesia',Rosa 'Friesia',ARBUSTO
ROGA,Rosal de Castilla,Rosa gallica,ARBUSTO
ROGC,Rosal gallica 'Complicata',Rosa gallica 'Complicata',ARBUSTO
ROGD,Rosal 'Gloire de Dijon',Rosa 'Gloire de Dijon',ARBUSTO
ROGE,Rosal 'Golden Celebration',Rosa 'Golden Celebration',ARBUSTO
ROBU,Rosal 'Buff Beauty',Rosa 'Buff Beauty',ARBUSTO
ROGL,Rosal 'Galaty',Rosa 'Galaty',ARBUSTO
ROGS,Rosal 'Golden Showers',Rosa 'Golden Showers',ARBUSTO
ROGU,Rosal 'Guinée',Rosa 'Guinée',ARBUSTO
ROIC,"Rosal 'Iceberg , Climber'","Rosa 'Iceberg , Climber'",TAPIZANTE/TREPADORA
ROIJ,Rosal 'Impératrice Josephine',Rosa 'Impératrice Josephine',ARBUSTO
ROIR,Rosal 'Isabella Rossellini',Rosa 'Isabella Rossellini',ARBUSTO
ROJB,Rosal 'Jardins de Bagatelle',Rosa 'Jardins de Bagatelle',ARBUSTO
ROJC,Rosal 'Jacques Cartier',Rosa 'Jacques Cartier',ARBUSTO
ROJG,Rosal 'James Galway',Rosa 'James Galway',ARBUSTO
ROJO,Rosal 'Jardinero Ortiz',Rosa 'Jardinero Ortiz',ARBUSTO
ROJS,Rosal 'Josefina de Salgado',Rosa 'Josefina de Salgado',ARBUSTO
ROKD,Rosal 'Königin von Dänemark',Rosa 'Königin von Dänemark',ARBUSTO
ROKR,Rosal 'Kew Rambler',Rosa 'Kew Rambler',ARBUSTO
ROLA,Rosal 'Lourdes Arroyo',Rosa 'Lourdes Arroyo',ARBUSTO
ROLC,Rosal 'Lucia Cotarelo',Rosa 'Lucia Cotarelo',ARBUSTO
ROLF,Rosal 'Louis de Funès',Rosa 'Louis de Funès',ARBUSTO
ROAL,Rosal 'Alchymist',Rosa 'Alchymist',ARBUSTO
ROLO,Rosal 'Louise Odier',Rosa 'Louise Odier',ARBUSTO
ROLU,Rosal 'Luarca',Rosa 'Luarca',ARBUSTO
ROLW,Rosal 'Lawinia',Rosa 'Lawinia',ARBUSTO
ROMA,Rosal 'Maigold',Rosa 'Maigold',ARBUSTO
ROMB,Rosal 'Mademoiselle Cécile Brünner',Rosa 'Mademoiselle Cécile Brünner',ARBUSTO
ROMC,Rosal 'Madame Alfred Carrière',Rosa 'Madame Alfred Carrière',ARBUSTO
ROMG,Rosal 'Madame Grégoire Staechelin',Rosa 'Madame Grégoire Staechelin',ARBUSTO
ROMJ,Rosal 'Mon Jardin et Ma Maison',Rosa 'Mon Jardin et Ma Maison',ARBUSTO
ROML,Rosal 'Madame Legras de St. Germain',Rosa 'Madame Legras de St. Germain',ARBUSTO
ROMO,Rosal 'Montserrat',Rosa 'Montserrat',ARBUSTO
ROMP,Rosal 'Madame Plantier',Rosa 'Madame Plantier',ARBUSTO
ROMT,Rosal 'Maria Teresa Bordas',Rosa 'Mª Teresa Bordas',ARBUSTO
ROMU,Rosal 'Marquesa de Urquijo',Rosa 'Marquesa de Urquijo',ARBUSTO
ROND,Rosal 'New Dawn',Rosa 'New Dawn',ARBUSTO
RONO,Rosal 'Nozomi',Rosa 'Nozomi',ARBUSTO
ROPB,Rosal 'Phyllis Bide',Rosa 'Phyllis Bide',ARBUSTO
ROPD,Rosal 'Peach Drift',Rosa 'Peach Drift',ARBUSTO
ROPE,Rosal 'Pretty Red',Rosa 'Pretty Red',ARBUSTO
ROPH,Rosal 'Parfum de l'Haÿ',Rosa 'Parfum de l'Haÿ',ARBUSTO
ROPL,Rosal 'Perla de Alcanada',Rosa 'Perla de Alcanada',ARBUSTO
ROPN,Rosal 'Philippe Noiret',Rosa 'Philippe Noiret',ARBUSTO
ROPR,Rosal 'Pierre de Ronsard',Rosa 'Pierre de Ronsard',TAPIZANTE/TREPADORA
ROPS,Rosal 'Pink Symphonie',Rosa 'Pink Symphonie',ARBUSTO
ROPY,Rosal 'Paris de Yves St. Laurent',Rosa 'Paris de Yves St. Laurent',ARBUSTO
ROQE,Rosal 'Queen Elizabeth',Rosa 'Queen Elizabeth',ARBUSTO
ROQM,Rosal 'Queen of the Musks',Rosa 'Queen of the Musks',ARBUSTO
RORB,Rosal 'Ramón Bach',Rosa 'Ramón Bach',ARBUSTO
RORE,Rosal 'Rocio Elias',Rosa 'Rocio Elias',ARBUSTO
RORH,Rosal 'Roseraie de l'Haÿ',Rosa 'Roseraie de l'Haÿ',ARBUSTO
RORI,Rosal 'Risaralda',Rosa 'Risaralda',ARBUSTO
RORR,Rosal 'Rose de Rescht',Rosa 'Rose de Rescht',ARBUSTO
RORU,Rosal 'Rosarium Uetersen',Rosa 'Rosarium Uetersen',ARBUSTO
ROSD,Rosal 'Souvenir du Docteur Jamain',Rosa 'Souvenir du Docteur Jamain',ARBUSTO
ROSE,Rosal 'Soft Meidiland',Rosa 'Soft Meidiland',ARBUSTO
ROSH,Rosal 'Sally Holmes',Rosa 'Sally Holmes',ARBUSTO
ROSI,Rosal 'Si',Rosa 'Si',ARBUSTO
ROSP,Rosal 'Sandro Pertini',Rosa 'Sandro Pertini',ARBUSTO
ROST,Rosal 'Stel',Rosa 'Stel',ARBUSTO
ROSY,Rosal 'Sympathie',Rosa 'Sympathie',ARBUSTO
ROTB,Rosal 'Thérèse Bugnet',Rosa 'Thérèse Bugnet',ARBUSTO
ROTG,Rosal 'The Garland',Rosa 'The Garland',ARBUSTO
ROTM,Rosal 'The McCartney Rose',Rosa 'The McCartney Rose',ARBUSTO
ROTU,Rosal 'Tess of the D'Urbervilles',Rosa 'Tess of the D'Urbervilles',ARBUSTO
ROVE,Rosal 'Veilchenblau',Rosa 'Veilchenblau',ARBUSTO
ROVI,Rosal 'Violon d'Ingres',Rosa 'Violon d'Ingres',ARBUSTO
ROVR,Rosal 'Vía Romana',Rosa 'Vía Romana',ARBUSTO
RPO,Rododendro,Rhododendron ponticum,ARBUSTO
ROWD,Rosal 'Wedding Day',Rosa 'Wedding Day',ARBUSTO
ROWI,Rosal 'William Morris',Rosa 'William Morris',ARBUSTO
ROWM,Rosal 'White Meidiland',Rosa 'White Meidiland',ARBUSTO
ROWQ,Rosal 'White Queen Elizabeth',Rosa 'White Queen Elizabeth',TAPIZANTE/TREPADORA
RWBB,Rosal 'Benjamin Britten',Rosa 'Benjamin Britten',ARBUSTO
RWCD,Rosal 'Carte d´Or',Rosa 'Carte d´Or',ARBUSTO
RWCM,Rosal 'Caprice de Meilland',Rosa 'Caprice de Meilland',ARBUSTO
RWCS,Rosal 'Constance Spry',Rosa 'Constance Spry',ARBUSTO
RWEH,"Rosal 'Ena Harkness, Climber'","Rosa 'Ena Harkness, Climber'",TAPIZANTE/TREPADORA
RWGA,Rosal 'Gala Charles Aznavour',Rosa 'Gala Charles Aznavour',ARBUSTO
RWGD,Rosal 'Guirlande d'Amour',Rosa 'Guirlande d'Amour',ARBUSTO
RWGE,Rosal 'Generosa',Rosa 'Generosa',ARBUSTO
RWLU,Rosal 'Lucetta',Rosa 'Lucetta',ARBUSTO
RWMI,Rosal 'Madame Isaac Pereire',Rosa 'Madame Isaac Pereire',ARBUSTO
RWMT,,"Rosa 'Mme. Caroline Testout, Climber'",TAPIZANTE/TREPADORA
