Código,Nombre común,Nombre científico,Tipo de planta
TAX,Taray,Tamarix sp,ARBUSTO
TBA,Tejo,Taxus baccata,CONIFERA
TFO,Palma de Fortune,Trachycarpus fortunei,PALMACEA
TFR,Olivilla,Teucrium fruticans,ARBUSTO
TGA,Taray,Tamarix gallica,ARBUSTO
THX,Tuya,Thuja sp,CONIFERA
YAL,Yuca pinchuda,Yucca aloifolia,HERB_PERENNES
TIC,Tilo de hoja pequeña,Tilia cordata,FRONDOSA
TIE,Tilo,Tilia x europaea,FRONDOSA
TIP,Tilo de hojas grandes,Tilia platyphyllos,FRONDOSA
UMIV,Olmo común,Ulmus minor 'Dehesa de la Villa',FRONDOSA
TIX,Tilos,Tilia sp,FRONDOSA
TOC,Tuya occidental,Thuja occidentalis,CONIFERA
SVUC,Lilo,Syringa vulgaris 'Charles Joly',ARBUSTO
UAM,Olmo americana,Ulmus americana,FRONDOSA
UGL,Olmo de montaña,Ulmus glabra,FRONDOSA
UHO,Olmo de Holanda,Ulmus x hollandica,FRONDOSA
UJA,Olmo japonés/Ulmus japonica,Ulmus davidiana var. japonica,FRONDOSA
ULX,Olmos,Ulmus sp,FRONDOSA
UMI,Olmo común,Ulmus minor,FRONDOSA
UPA,Olmo chino,Ulmus parvifolia,FRONDOSA
UTH,Olmo de corcho,Ulmus thomasii,FRONDOSA
VBU,Verónica/Veronica buxifolia,Hebe buxifolia,ARBUSTO
VIX,Viburnos,Viburnum sp,ARBUSTO
VMA,Hierba doncella,Vinca major,TAPIZANTE/TREPADORA
VTI,Durillo,Viburnum tinus,ARBUSTO
ACDI,Arce del diablo,Acer diabolicum,FRONDOSA
YUZ,Yucas,Yucca sp,HERB_PERENNES
ZSE,Zelkova japonesa,Zelkova serrata,FRONDOSA
PIH,Pitosporo,Pittosporum heterophyllum,ARBUSTO
AAL,Ailanto,Ailanthus altissima,FRONDOSA
AAM,Pita,Agave americana,CACTACEA/SUCULENTA
ABA,Abeto blanco,Abies alba,CONIFERA
ABP,Pinsapo,Abies pinsapo,CONIFERA
ABX,Abeto,Abies sp,CONIFERA
ACA,Arce campestre,Acer campestre,FRONDOSA
ACX,Acacias,Acacia sp,FRONDOSA
ADE,Mimosa plateada,Acacia dealbata,FRONDOSA
ACPF,Arce forresti,Acer pectinatum subsp. forrestii,FRONDOSA
AFL,Abelia floribunda/Abelia floribunda,Vesalea floribunda,ARBUSTO
AGR,Abelia,Abelia x grandiflora,ARBUSTO
AGX,Pitas,Agave sp,CACTACEA/SUCULENTA
AHI,Castaño de indias,Aesculus hippocastanum,FRONDOSA
AJU,Acacia de Constantinopla,Albizia julibrissin,FRONDOSA
ALO,Mimosa dorada,Acacia longifolia,FRONDOSA
ALX,Albizia,Albizia sp,FRONDOSA
AMO,Arce de Montpellier,Acer monspessulanum,FRONDOSA
APL,Arce real,Acer platanoides,FRONDOSA
APR,Abeto noble,Abies procera,CONIFERA
APS,Falso plátano,Acer pseudoplatanus,FRONDOSA
ASA,Arce del azúcar,Acer saccharinum,FRONDOSA
ATA,Arce de Tartaria,Acer tataricum,FRONDOSA
AUJ,Laurel manchado,Aucuba japonica,ARBUSTO
CBU,Catalpa de Bunge,Catalpa bungei,FRONDOSA
CCO,Avellano turco,Corylus colurna,FRONDOSA
CDA,Cotoneaster de Dammer,Cotoneaster dammeri,ARBUSTO
CEO,Almez americano,Celtis occidentalis,FRONDOSA
DVI,Caqui de Virginia,Diospyros virginiana,FRONDOSA
EAN,Árbol del paraíso,Elaeagnus angustifolia,FRONDOSA
ECA,Eucalipto rojo,Eucalyptus camaldulensis,FRONDOSA
EEU,Bonetero,Euonymus europaeus,ARBUSTO
EFL,Escalonia,Escallonia floribunda,ARBUSTO
EFO,Bonetero rastrero,Euonymus fortunei,ARBUSTO
EGL,Eucalipto blanco,Eucalyptus globulus,FRONDOSA
VOPN,Bola de nieve 'Nanum',Viburnum opulus 'Nanum',ARBUSTO
EPU,Eleagno,Elaeagnus pungens,ARBUSTO
ERO,Escalonia rosa,Escallonia rosea,ARBUSTO
ESX,Esacalonia,Escallonia sp,ARBUSTO
EUZ,Evónimo,Euonymus sp,ARBUSTO
FAM,Fresno americano,Fraxinus americana,FRONDOSA
FAN,Fresno de la tierra,Fraxinus angustifolia,FRONDOSA
FCA,Higuera,Ficus carica,FRONDOSA
FEX,Fresno común,Fraxinus excelsior,FRONDOSA
FOI,Forsitia,Forsythia x intermedia,ARBUSTO
FOR,Fresno de flor,Fraxinus ornus,FRONDOSA
FRX,Fresnos,Fraxinus sp,FRONDOSA
FSI,Parasol de la China,Firmiana simplex,SUBTROPICAL/TROPICAL
FSY,Haya,Fagus sylvatica,FRONDOSA
LIN,Árbol de Júpiter,Lagerstroemia indica,FRONDOSA
LIX,Aligustres,Ligustrum sp,ARBUSTO
LLT,Espliego,Lavandula latifolia,ARBUSTO
LLU,Aligustre arbóreo,Ligustrum lucidum,ARBUSTO
LNO,Laurel,Laurus nobilis,FRONDOSA
LOF,Lavanda,Lavandula officinalis,ARBUSTO
LOV,Ligustrina,Ligustrum ovalifolium,ARBUSTO
UMID,Olmo común,Ulmus minor 'Dehesa de Amaniel',FRONDOSA
UMIR,Olmo común,Ulmus minor 'Retiro',FRONDOSA
PIN,Pino laricio,Pinus nigra,CONIFERA
PIP,Pino resinero,Pinus pinaster,CONIFERA
PIS,Abeto del Himalaya,Picea smithiana,CONIFERA
PIT,Pitosporo,Pittosporum tobira,ARBUSTO
PIX,Pino,Pinus sp,CONIFERA
PLU,Palo loro,Prunus lusitanica,ARBUSTO
PMH,Cerezo de Santa Lucía,Prunus mahaleb,ARBUSTO
PNI,Chopo negro,Populus nigra,FRONDOSA
POC,Chopo del Canadá,Populus x canadensis,FRONDOSA
POR,Plátano oriental,Platanus orientalis,FRONDOSA
POS,Chopo de Simón,Populus simonii,FRONDOSA
POX,Chopo,Populus sp,FRONDOSA
POZ,Fotinia,Photinia sp,ARBUSTO
PPE,Melocotonero,Prunus persica,FRONDOSA
PPI,Pino piñonero,Pinus pinea,CONIFERA
PRA,Albaricoquero,Prunus armeniaca,FRONDOSA
PRC,Ciruelo rojo,Prunus cerasifera,FRONDOSA
PRP,Cerezo de racimos,Prunus padus,FRONDOSA
PRS,Capulín,Prunus serotina,FRONDOSA
PRX,Pruno,Prunus sp,FRONDOSA
PSL,Peral de hoja de sauce,Pyrus salicifolia,FRONDOSA
PTO,Paulonia,Paulownia tomentosa,FRONDOSA
PTR,Álamo temblón,Populus tremula,FRONDOSA
SHY,Espirea,Spiraea hypericifolia,ARBUSTO
SJA,Acacia del Japón/Sophora japonica,Styphnolobium japonicum,FRONDOSA
SJU,Gayomba,Spartium junceum,HERB_PERENNES
VLU,Viburno,Viburnum lucidum,ARBUSTO
AUN,Madroño,Arbutus unedo,ARBUSTO
BCA,Palmera de la jalea,Butia capitata,PALMACEA
BDA,Arbusto de las mariposas,Buddleja davidii,ARBUSTO
BJU,Agracejo chino,Berberis julianae,ARBUSTO
BPA,Abedul de papel,Betula papyrifera,FRONDOSA
BPE,Abedul llorón (o péndulo),Betula pendula,FRONDOSA
BPU,Abedul pubescente,Betula pubescens,FRONDOSA
BRP,Morera de papel,Broussonetia papyrifera,FRONDOSA
BTH,Agracejo,Berberis thunbergii,ARBUSTO
BUT,Abedul del Himalaya,Betula utilis,FRONDOSA
BUX,Budelia,Buddleja sp,ARBUSTO
CAD,Cedro blanco,Calocedrus decurrens,CONIFERA
CAO,Arbusto del guisante,Caragana arborescens,ARBUSTO
CAR,Ciprés de Arizona,Cupressus arizonica,CONIFERA
CAS,Castaño,Castanea sativa,FRONDOSA
CAU,Almez,Celtis australis,FRONDOSA
CES,Algarrobo,Ceratonia siliqua,FRONDOSA
CFR,Cotoneaster frígido,Cotoneaster frigidus,ARBUSTO
CHL,Ciprés de Lawson,Chamaecyparis lawsoniana,CONIFERA
CHO,Falso ciprés,Chamaecyparis obtusa,CONIFERA
ABCO,Abeto del Colorado,Abies concolor,CONIFERA
CHU,Palmito,Chamaerops humilis,PALMACEA
CIA,Naranjo amargo,Citrus x aurantium,FRONDOSA
CIL,Limonero,Citrus limon,FRONDOSA
VOP,Bola de nieve,Viburnum opulus,ARBUSTO
CLA,Almez del Mississipi,Celtis laevigata,FRONDOSA
PDUC,,Prunus dulcis 'Cavaliera',FRONDOSA
CLI,Cedro del Líbano,Cedrus libani,CONIFERA
CMO,Majuelo,Crataegus monogyna,ARBUSTO
COH,Cotoneaster horizontal,Cotoneaster horizontalis,ARBUSTO
COL,Cotoneaster lechoso,Cotoneaster lacteus,ARBUSTO
COX,Cotoneaster,Cotoneaster sp,ARBUSTO
CPE,Calistemo espléndido,Callistemon speciosus,ARBUSTO
CRI,Cepillo,Callistemon rigidus,ARBUSTO
CRL,Espino blanco,Crataegus laevigata,ARBUSTO
CSA,Cornejo rojo,Cornus sanguinea,ARBUSTO
CSE,Ciprés común,Cupressus sempervirens,CONIFERA
CSI,Árbol del amor,Cercis siliquastrum,FRONDOSA
CSL,Cotoneaster de hoja de sauce,Cotoneaster salicifolius,ARBUSTO
CUM,Ciprés de Monterrey,Cupressus macrocarpa,CONIFERA
CUX,Ciprés,Cupressus sp,CONIFERA
CVA,Carolina del jardín,Coronilla valentina,HERB_PERENNES
CYO,Membrillero,Cydonia oblonga,ARBUSTO
DLO,Caqui enano,Diospyros lotus,FRONDOSA
GTR,Acacia de tres espinas,Gleditsia triacanthos,FRONDOSA
HAN,Verónica,Hebe andersonii,ARBUSTO
HHE,Hiedra,Hedera helix,TAPIZANTE/TREPADORA
RSM,Rosa ‘Sweet Meidilland’,Rosa 'Sweet Meidilland',ARBUSTO
HRO,Rosa de China,Hibiscus rosa-sinensis,ARBUSTO
HSX,Hebe,Hebe sp,ARBUSTO
HSY,Rosa de Siria,Hibiscus syriacus,ARBUSTO
IAQ,Acebo,Ilex aquifolium,FRONDOSA
IRX,Lirios,Iris sp,HERB_PERENNES
JCO,Enebro común,Juniperus communis,CONIFERA
JHO,Junípero horizontal,Juniperus horizontalis,CONIFERA
JNU,Jazmín de invierno,Jasminum nudiflorum,TAPIZANTE/TREPADORA
JRE,Nogal,Juglans regia,FRONDOSA
JUX,Junipero,Juniperus sp,CONIFERA
KPA,Árbol de los farolitos,Koelreuteria paniculata,FRONDOSA
LSO,Cantueso,Lavandula stoechas,ARBUSTO
LST,Liquidambar,Liquidambar styraciflua,FRONDOSA
LTU,Árbol de las tulipas,Liriodendron tulipifera,FRONDOSA
LVU,Aligustre,Ligustrum vulgare,ARBUSTO
MAL,Morera blanca,Morus alba,FRONDOSA
MAQ,Mahonia; Berberis aquifolium,Mahonia aquifolium,ARBUSTO
MCO,Manzano,Malus communis,FRONDOSA
MEA,Cinamomo,Melia azedarach,FRONDOSA
MFL,Manzano japonés,Malus floribunda,FRONDOSA
MGE,Níspero,Mespilus germanica,FRONDOSA
MGR,Magnolio,Magnolia grandiflora,FRONDOSA
MNI,Morera,Morus nigra,FRONDOSA
MOX,Morera,Morus sp,FRONDOSA
MSY,Manzano silvestre,Malus sylvestris,FRONDOSA
PCY,Peral de flor,Pyrus calleryana,FRONDOSA
CLS,limpiatubos llorón,Callistemon viminalis,ARBUSTO
NOL,Adelfa,Nerium oleander,ARBUSTO
OCA,Carpe negro,Ostrya carpinifolia,FRONDOSA
PAB,Álamo plateado,Populus alba 'Bolleana',FRONDOSA
PAG,Piracanta de hoja estrecha,Pyracantha angustifolia,ARBUSTO
PAL,Álamo blanco,Populus alba,FRONDOSA
PAV,Cerezo silvestre,Prunus avium,FRONDOSA
PBO,Piruétano,Pyrus bourgaeana,FRONDOSA
PCC,Espino de fuego,Pyracantha coccinea,ARBUSTO
PCE,Pino cembro,Pinus cembra,CONIFERA
PCO,Celinda,Philadelphus coronarius,ARBUSTO
PCP,Ciruelo púrpura,Prunus cerasifera  subsp. pissardii,FRONDOSA
PDI,Bellasombra,Phytolacca dioica,FRONDOSA
PGL,Fotinia,Photinia glabra,ARBUSTO
PGR,Granado,Punica granatum,FRONDOSA
PHC,Palmera canaria,Phoenix canariensis,PALMACEA
PHD,Palmera datilera,Phoenix dactylifera,PALMACEA
PHF,Fotinia,Photinia x fraseri,ARBUSTO
PHS,Fotinia,Photinia serrulata,ARBUSTO
PYC,Peral,Pyrus communis,FRONDOSA
PYX,Álamo de Yunnan,Populus yunnanensis,FRONDOSA
PYZ,Piracantas,Pyrus sp,ARBUSTO
VEX,Verónicas,Veronica sp,ARBUSTO
RPLB,Rosa ‘Polyantha Little Buccara’,Rosa 'Polyantha Little Buccara',ARBUSTO
QPE,Roble albar,Quercus petraea,FRONDOSA
QRO,Roble común,Quercus robur,FRONDOSA
QRU,Roble americano,Quercus rubra,FRONDOSA
QSU,Alcornoque,Quercus suber,FRONDOSA
RAC,Rusco,Ruscus aculeatus,HERB_PERENNES
RAL,Aladierno,Rhamnus alaternus,ARBUSTO
RCN,Rosal silvestre,Rosa canina,ARBUSTO
RHI,Acacia rosa,Robinia hispida,FRONDOSA
ROF,Romero,Salvia rosmarinus,ARBUSTO
ROX,Rododendro,Rhododendron sp,ARBUSTO
ROZ,Rosas,Rosa sp,ARBUSTO
RPS,Falsa acacia,Robinia pseudoacacia,FRONDOSA
RSP,Retama amarilla,Retama sphaerocarpa,ARBUSTO
SAL,Sauce blanco,Salix alba,FRONDOSA
SAU,Serbal de los cazadores,Sorbus aucuparia,FRONDOSA
ULDA,Olmo del padre David,Ulmus davidiana,FRONDOSA
SBA,Sauce llorón,Salix babylonica,FRONDOSA
SCH,Santolina,Santolina chamaecyparissus,ARBUSTO
SCN,Corona de novia,Spiraea cantoniensis,ARBUSTO
SMI,Acacia,Sophora microphylla,FRONDOSA
SOF,Salvia,Salvia officinalis,HERB_PERENNES
SPX,Espirea,Spiraea sp,ARBUSTO
SSA,Falsa espirea,Sorbaria sorbifolia,HERB_PERENNES
SSE,Secuoya,Sequoia sempervirens,CONIFERA
SVA,Espírea de Vanhoutte,Spiraea x vanhouttei,ARBUSTO
SVU,Lilo,Syringa vulgaris,ARBUSTO
TAM,Tilo americano,Tilia americana,FRONDOSA
ISPS,Carraspique 'Snowflake',Iberis sempervirens 'Snowflake',HERB_PERENNES
ILNR,Acebo 'Nellie Stevens'; 	Ilex aquifolium 'Nellie R. Stevens',Ilex 'Nellie R. Stevens',FRONDOSA
IRPV,Lirio dálmata 'Variegata',Iris pallida 'Variegata',HERB_PERENNES
JMEM,Enebro de Pfitzer 'Mint julep',Juniperus x pfitzeriana 'Mint julep',CONIFERA
ACP,Arce de Capadocia,Acer cappadocium,FRONDOSA
KAMP,Plantabella 'Pink cloud',Kolkwitzia amabilis 'Pink Cloud',ARBUSTO
LAGH,Lavanda 'Hidcote',Lavandula angustifolia 'Hidcote',ARBUSTO
LATB,Malva 'Barnsley',Lavatera thuringiaca 'Barnsley',HERB_PERENNES
LIMU,Serpentina,Liriope muscari,HERB_PERENNES
LNIE,Madreselva nitida 'Elegant',Lonicera nitida 'Elegant',TAPIZANTE/TREPADORA
LYSP,Albardín,Lygeum spartum,HERB_PERENNES
APSW,Falso plátano amarillo,Acer pseudoplatanus 'Worleei',FRONDOSA
MEOF,Melisa,Melissa officinalis,HERB_PERENNES
EJAB,Evónimo japones de hoja con bordes blancos,Euonymus japonicus 'Albomarginata',ARBUSTO
ASAL,Arce plateado 'Laciniatum Wieri',Acer saccharinum 'Laciniatum Wieri',FRONDOSA
AGAF,Lirio africano,Agapanthus africanus,HERB_PERENNES
AGTH,Agapanto 'Thinkerbell',Agapanthus 'Thinkerbell',HERB_PERENNES
AGWD,Agapanto 'White dwarf',Agapanthus 'White dwarf',HERB_PERENNES
ARPC,Artemisa 'Powis castle',Artemisia 'Powis Castle',HERB_PERENNES
BDAW,Budelia 'White profusion',Buddleja davidii 'White Profusion',ARBUSTO
CEGY,Lilo 'Yankee point',Ceanothus griseus 'Yankee point',ARBUSTO
CIFL,Jara florentina,Cistus x florentinus,ARBUSTO
CISK,Jara de flor rosada,Cistus x skanbergii,ARBUSTO
COKV,Coprosma ‘Variegata’,Coprosma x kirkii 'Variegata',ARBUSTO
COBE,Cornejo 'Elegantissima',Cornus alba 'Elegantissima',ARBUSTO
DESP,Aira,Deschampsia sp,HERB_PERENNES
DHIF,Hierba del pastor 'Frejorgues',Dorycnium hirsutum 'Frejorgues',HERB_PERENNES
ERKA,Margarita cimarrona,Erigeron karvinskianus,HERB_PERENNES
ESIV,Escalonia iveyi,Escallonia x iveyi,ARBUSTO
GLDS,Gaura 'Siskiyou pink',"Gaura lindheimeri ""Siskiyou Pink""",HERB_PERENNES
TOCS,Tuya occidental 'Smaragd',Thuja occidentalis 'Smaragd',CONIFERA
HEST,Lirio de San Juan 'Stafford',Hemerocallis 'Stafford',HERB_PERENNES
HYHI,Cerrillo,Hyparrhenia hirta,HERB_PERENNES
ABZ,Abelia,Abelia sp,ARBUSTO
ACE,Abeto de Grecia,Abies cephalonica,CONIFERA
ACO,Aliso napolitano,Alnus cordata,FRONDOSA
AKO,Abeto de Corea,Abies koreana,CONIFERA
AMS,Abeto de Masjoan,Abies x masjoannis,CONIFERA
AHY,Abutilón,Abutilon hybridum,ARBUSTO
ACC,Acacia de costa,Acacia cyclops,FRONDOSA
RLO,Rosa ‘Loredo’,Rosa 'Loredo',ARBUSTO
ARE,Arce campestre 'Elsrijk',Acer campestre 'Elsrijk',FRONDOSA
AWI,Acalifa,Acalypha wilkesiana,SUBTROPICAL/TROPICAL
ACM,Acanto,Acanthus mollis,HERB_PERENNES
AUM,Arce tridente,Acer buergerianum,FRONDOSA
AII,Arce de Freeman,Acer x freemanii,FRONDOSA
AZF,"Arce de Freeman, cultivar 'Autumn Blaze'; ‘Jeffersred’ (Autumn Blaze® Maple)",Acer x freemanii 'Autumn Blaze',FRONDOSA
AGN,Arce de Amur,Acer tataricum subsp. ginnala,FRONDOSA
UEU,Tojo,Ulex europaeus,ARBUSTO
ANE,Arce negundo,Acer negundo,FRONDOSA
ADO,Arce negundo variegado,Acer negundo 'Variegatum',FRONDOSA
AOP,Acirón,Acer opalus,FRONDOSA
APCS,Arce 'Pacific sunset',Acer x 'Pacific Sunset',FRONDOSA
APA,Arce palmeado (japonés),Acer palmatum,FRONDOSA
APE,Arce de Pensilvania,Acer pensylvanicum,FRONDOSA
AES,Arce real 'Crimson Sentry',Acer platanoides 'Crimson Sentry',FRONDOSA
ANP,Arce real 'Crimson King',Acer platanoides 'Crimson King',FRONDOSA
ARU,Arce rojo,Acer rubrum,FRONDOSA
ACZ,Acorus,Acorus sp,HERB_PERENNES
ACL,Milenrama de flor blanca,Achillea millefolium,HERB_PERENNES
ACH,Milenrama,Achillea sp,HERB_PERENNES
THZ,Tomillo,Thymus sp,HERB_PERENNES
UAC,Milenrama,Achillea umbellata,HERB_PERENNES
AWR,Palmera de Florida,Acoelorrhaphe wrightii,PALMACEA
ASP,Laurel tóxico/Acokantera spectabilis,Acokanthera oblongifolia,ARBUSTO
ADX,Codesos,Adenocarpus sp,HERB_PERENNES
AIC,Castaño de Indias de flor rosada,Aesculus indica,FRONDOSA
ANG,Castaño de Indias de Carolina,Aesculus x neglecta,FRONDOSA
APV,Castaño enano,Aesculus parviflora,FRONDOSA
AWO,Falso castaño de Wörlitz,Aesculus x woerlitzensis,FRONDOSA
AGA,Menta de la India,Agastache sp,HERB_PERENNES
AGHO,Agerato,Ageratum houstonianum,HERB_PERENNES
AGTE,Agrostis tenuis,Agrostis canina,HERB_PERENNES
APC,Ajania,Ajania pacifica,HERB_ANUAL
ALP,Albizia amarilla,Albizia lophantha,FRONDOSA
APO,Albizia,Albizia procera,FRONDOSA
ALZ,Ajo ornamental,Allium sp,HERB_PERENNES
ALL,Canastillo,Alyssum saxatile,HERB_PERENNES
AGL,Aliso común,Alnus glutinosa,FRONDOSA
AIN,Aliso gris,Alnus incana,FRONDOSA
ALR,Aliso rojo,Alnus rubra,FRONDOSA
AMH,Alocasia,Alocasia macrorrhizos,HERB_PERENNES
ALOE,Aloe,Aloe sp,CACTACEA/SUCULENTA
ALCI,Hierbaluisa,Aloysia citriodora,SUBTROPICAL/TROPICAL
ATR,Hierba Luisa,Aloysia triphylla,SUBTROPICAL/TROPICAL
ALS,Lirio de los Incas,Alstroemeria sp,HERB_ANUAL
ALM,Canastillo de oro,Alyssum montanum,HERB_PERENNES
AMX,Azucena,Amaryllis sp,HERB_ANUAL
AMR,Guillomo,Amelanchier arborea,ARBUSTO
AML,Guillomo 'Robin Hill',Amelanchier arborea 'Robin Hill',ARBUSTO
AMC,Guillomo del Canadá,Amelanchier canadensis,ARBUSTO
AMLA,Cornijuelo,Amelanchier lamarckii,ARBUSTO
AOV,Bellomera,Amelanchier ovalis,ARBUSTO
AMBR,Parra ornamental china,Ampelopsis brevipendunculata,TAPIZANTE/TREPADORA
ANX,Anémona de los jardines,Anemone sp,HERB_ANUAL
ANC,"Chirimoyo, Chirimoya",Annona cherimola,SUBTROPICAL/TROPICAL
ANT,Manzanilla,Anthemis sp,HERB_PERENNES
ANMA,Conejitos,Antirrhinum majus nanum pendula,HERB_PERENNES
ATX,Albaida,Anthyllis sp,HERB_PERENNES
APCO,Aptenia cordiflora,Mesembryanthemum cordifolium,CACTACEA/SUCULENTA
AQA,Aguileña,Aquilegia alpina,HERB_PERENNES
AREL,Aralia,Aralia elata,HERB_PERENNES
ARZ,Aralias,Aralia sp,HERB_PERENNES
AAR,Araucaria,Abies araucana,CONIFERA
AHE,Araucaria excelsa,Araucaria heterophylla,CONIFERA
AIM,Araucana,Araucaria imbricata,CONIFERA
AME,Madroña,Arbutus menziesii,ARBUSTO
ARA,Palmera de Alejandría,Archontophoenix alexandrae,PALMACEA
ARC,Palmera de Bangalow,Archontophoenix cunninghamiana,PALMACEA
AUU,Gayuba,Arctostaphylos uva-ursi,HERB_PERENNES
ASC,Palmera de la reina/Arikuryroba schizophylla,Syagrus schizophylla,SUBTROPICAL/TROPICAL
AIX,Aristoloquia,Aristolochia sp,SUBTROPICAL/TROPICAL
ARR,Césped de España,Armeria maritima,HERB_PERENNES
ARME,Aronia,Aronia melanocarpa,ARBUSTO
ART,Ajenjo de montaña,Artemisia arborescens,HERB_PERENNES
ATZ,Artemisa,Artemisia sp,HERB_PERENNES
ARJ,Bambú japonés/Arundinaria japonica,Pseudosasa japonica,HERB_PERENNES
AVR,Bambú variegado/Arundinaria variegata,Pleioblastus fortunei,HERB_PERENNES
ARD,Caña común,Arundo donax,HERB_PERENNES
ASX,Asclepia,Asclepias sp,HERB_PERENNES
ASSC,Espárrago trepador,Asparagus scandens,HERB_PERENNES
ASG,Esparragueras,Asparagus sp,HERB_PERENNES
ALU,Aspidistra,Aspidistra lurida,HERB_PERENNES
ATI,Estrella de arroyos,Aster tripolium,HERB_PERENNES
RHU,Rosa ‘Hugonis’,Rosa 'Hugonis',ARBUSTO
AUZ,Aubrietia,Aubrieta sp,HERB_PERENNES
AID,Azalea/Azalea indica,Rhododendron indicum,ARBUSTO
BAZ,Árbol orquídea,Bauhinia sp,FRONDOSA
BAX,Bambú,Bambusa sp,HERB_PERENNES
BVU,Bambú común,Bambusa vulgaris,HERB_PERENNES
BFO,Pata de vaca,Bauhinia forficata,FRONDOSA
BAGA,Bauhinia roja,Bauhinia galpinii,FRONDOSA
BTA,Árbol de Santo Tomás,Bauhinia tomentosa,FRONDOSA
BESE,Begonia semperflorens,Begonia cucullata,HERB_ANUAL
BEPE,Margarita de los prados,Bellis perennis,HERB_ANUAL
BLZ,Margaritas,Bellis sp,HERB_ANUAL
BBU,Calafate/Berberis buxifolia,Berberis microphylla,ARBUSTO
TRA,Taray catina,Tamarix ramosissima,ARBUSTO
BCH,Agracejo de Chenault,Berberis x chenaultii,ARBUSTO
BEDA,Agracejo de Darwin,Berberis darwinii,ARBUSTO
BEOT,Agracejo de Ottawa,Berberis × ottawensis,ARBUSTO
BEZ,Agracejo,Berberis sp,ARBUSTO
BST,Coralina compacta/Berberis x stenophylla,Berberis soulieana,ARBUSTO
REC,Rosa Easy Cover,Rosa 'Easy Cover',ARBUSTO
BECR,Hortensia de invierno,crassifolia,HERB_PERENNES
BRZ,Bergenias,Bergenia sp,HERB_PERENNES
BAL,Abedul amarillo,Betula alleghaniensis,FRONDOSA
BER,Abedul de Erman,Betula ermanii,FRONDOSA
BNA,Abedul enano,Betula nana,FRONDOSA
BNI,Abedul negro,Betula nigra,FRONDOSA
BEX,Abedul,Betula sp,FRONDOSA
BOX,Buganvillas,Bougainvillea sp,TAPIZANTE/TREPADORA
BGL,Buganvilla flor de papel,Bougainvillea glabra,TAPIZANTE/TREPADORA
BRA,Árbol de fuego,Brachychiton acerifolius,FRONDOSA
BDI,Braquiquito rosado,Brachychiton discolor,FRONDOSA
BPO,Braquiquito blanco,Brachychiton populneus,FRONDOSA
BRU,Árbol botella,Brachychiton rupestris,FRONDOSA
BRX,Braquiquitos,Brachychiton sp,FRONDOSA
BAR,Palmera azul,Brahea armata,PALMACEA
BDU,Palma dulce,Brahea dulcis,PALMACEA
BROL,Col ornamental,Brassica oleracea,HERB_ANUAL
BNV,Arbusto nevado,Breynia nivosa,HERB_PERENNES
BCL,Jazmín de Paraguay,Brunfelsia calycina,SUBTROPICAL/TROPICAL
BDG,Matico,Buddleja globosa,ARBUSTO
BFR,Adelfilla,Bupleurum fruticosum,HERB_PERENNES
BYA,Palma yatai,Butia yatay,PALMACEA
BBA,Boj balear,Buxus balearica,ARBUSTO
BMI,Boj de hoja pequeña,Buxus microphylla,ARBUSTO
BUZ,Boj,Buxus sp,ARBUSTO
CAGI,Ave del paraíso,Caesalpinia gilliesii,ARBUSTO
CAOF,Caléndula,Calendula officinalis,HERB_ANUAL
COK,escobillón rojo,Callistemon viminalis 'Captain Cook',ARBUSTO
CLC,Calistemo,Callistemon lanceolatus,ARBUSTO
CASP,Limpiatubos,Callistemon sp,ARBUSTO
CVL,Brezo,Calluna vulgaris,ARBUSTO
CAOC,Calicanto de occidente,Calycanthus occidentalis,ARBUSTO
CLY,Aulaga (Aliaga) negra,Calicotome spinosa,ARBUSTO
CVI,Erguén,Calicotome villosa,ARBUSTO
CJA,Camelia común; rosa de invierno,Camellia japonica,ARBUSTO
CRA,Trompetilla,Campsis radicans,TAPIZANTE/TREPADORA
CTA,Bignonia,Campsis x tagliabuana,TAPIZANTE/TREPADORA
CIN,Cañas de indias,Canna indica,HERB_PERENNES
CSP,Juncia,Carex sp,HERB_PERENNES
MYPA,Mioporo,Myoporum parvifolium,ARBUSTO
CLL,Nogal americano,Carya illinoinensis,FRONDOSA
CAC,Carióptera,Caryopteris x clandonensis,HERB_ANUAL
SJP,Acacia de Japón 'Pendula'/Sophora japonica 'Pendula',Styphnolobium japonicum 'Pendula',FRONDOSA
CED,Zapote blanco,Casimiroa edulis,ARBUSTO
CTE,Matasano,Casimiroa tetrameria,ARBUSTO
CCU,Casaurina,Casuarina cunninghamiana,FRONDOSA
CEQ,Pino australiano,Casuarina equisetifolia,FRONDOSA
CAY,Casaurina,Casuarina sp,FRONDOSA
CBI,Catalpa,Catalpa bignonioides,FRONDOSA
CARO,Hierba doncella,Catharanthus roseus,HERB_PERENNES
CCA,Lilo de California,Ceanothus caeruleus,ARBUSTO
CDL,Ceanoto,Ceanothus x delilianus,ARBUSTO
CPL,Lilo de California híbrido,Ceanothus x pallidus,ARBUSTO
CAX,Ceanoto,Ceanothus sp,ARBUSTO
CETH,Lilo de California,Ceanothus thyrsiflorus,ARBUSTO
CDH,Cedro chino/Cedrela chinensis,Toona sinensis,FRONDOSA
CAT,Cedro del Atlas,Cedrus atlantica,CONIFERA
CBR,Cedro de Chipre,Cedrus libani var. brevifolia,CONIFERA
CEZ,Cedros,Cedrus sp,CONIFERA
